"Id","Designator","Package","Quantity","Designation","Supplier and ref",
1,"REF**","KiCad-Logo_5mm_SilkScreen",1,"KiCad-Logo_5mm_SilkScreen",,,
2,"J11","PinHeader_1x03_P2.54mm_Vertical",1,"VBUS_Jmp",,,
3,"J10","PinHeader_1x03_P2.54mm_Vertical",1,"VDD_Jmp",,,
4,"SW1","SW_TH_Tactile_Omron_B3F-10xx",1,"SW_DIP_x02",,,
5,"C5,C1,C2,C4,C12,C13,C14,C15","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",8,"100n",,,
6,"U2","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm_ThermalVias",1,"CP2102N-A01-GQFN28",,,
7,"R12,R2,R3,R5,R6,R7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6,"1K",,,
8,"R11","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1,"47.5K",,,
9,"R10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1,"1M",,,
10,"D4","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1,"POWER",,,
11,"D3","D_SMA_Handsoldering",1,"1N5819",,,
12,"J8","PinSocket_1x10_P2.54mm_Vertical",1,"IO3",,,
13,"Y1","Crystal_HC49-U_Vertical",1,"16M",,,
14,"P5,P6,P7,P8","Arduino_1pin",4,"CONN_01X01",,,
15,"C3,C6","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",2,"4.7uF",,,
16,"C7,C11","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",2,"1uF",,,
17,"C8,C9,C10","CP_Radial_D6.3mm_P2.50mm",3,"47uF",,,
18,"C29,C30","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",2,"22p",,,
19,"D1","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1,"RXD",,,
20,"D2","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1,"USB_CONN",,,
21,"D5","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1,"TXD",,,
22,"D6","D_SMA_Handsoldering",1,"SM4007",,,
23,"F1","Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder",1,"500mA",,,
24,"J1","PinHeader_2x03_P2.54mm_Vertical",1,"ICSP",,,
25,"J2","USB_Micro-B_Molex-105017-0001",1,"USB_B_Micro",,,
26,"J3","PinSocket_1x10_P2.54mm_Vertical",1,"IO1",,,
27,"J4","PinSocket_1x08_P2.54mm_Vertical",1,"POWER_CONN",,,
28,"J5","USB_B_OST_USB-B1HSxx_Horizontal",1,"USB_B",,,
29,"J6","PinSocket_1x08_P2.54mm_Vertical",1,"IO0",,,
30,"J7","PinSocket_1x06_P2.54mm_Vertical",1,"IO2",,,
31,"J9","BarrelJack_Wuerth_6941xx301002",1,"Jack-DC",,,
32,"R1","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1,"22.1K",,,
33,"R4,R8","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",2,"300",,,
34,"U3","SOT-223-3_TabPin2",1,"AMS1117-5.0",,,
35,"U4","SOT-223-3_TabPin2",1,"AMS1117-3.3",,,
36,"Y2","Crystal_HC49-U_Vertical",1,"8M",,,
37,"U1","LQFP-44_10x10mm_P0.8mm",1,"IC--ATMEGA644PA-AU",,,
38,"D7","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1,"LED",,,
